23714.dat                      Animal Ant
18904.dat                      Animal Crocodile  4 x  9 Body
18904c01.dat                   Animal Crocodile  4 x  9 (Complete)
18905.dat                      Animal Crocodile  4 x  9 Head
18905p02.dat                   Animal Crocodile  4 x  9 Head with Red Eye Pattern
18905p01.dat                   Animal Crocodile  4 x  9 Head with Yellow Eye and White Glint Pattern
18905p03.dat                   Animal Crocodile  4 x  9 Head with Yellow Eye Pattern
18906.dat                      Animal Crocodile  4 x  9 Tail
6026.dat                       Animal Crocodile Body
6026c01.dat                    Animal Crocodile (Complete)
78532.dat                      Animal Crocodile Hatchling
78532p02.dat                   Animal Crocodile Hatchling with Black Eyes Pattern
78532p01.dat                   Animal Crocodile Hatchling with Blue Eyes with Black Outline Pattern
40373.dat                      Animal Dinosaur Body Quarter with Pegholes
40374.dat                      Animal Dinosaur Body Quarter with Pins
76443.dat                      Animal Dinosaur Body Stegosaurus (Complete)
76442.dat                      Animal Dinosaur Body Triceratops (Complete)
30461c02.dat                   Animal Dinosaur Body Triceratops (Complete) w/ Dark Orange Legs
30461c01.dat                   Animal Dinosaur Body Triceratops with Light Grey Legs (Complete)
76409.dat                      Animal Dinosaur Body Tyrannosaurus Rex
40386.dat                      Animal Dinosaur Flipper with Pin
30460.dat                      Animal Dinosaur Head Triceratops
30460c01.dat                   Animal Dinosaur Head Triceratops with White Horns
30459.dat                      Animal Dinosaur Head Tyrannosaurus Rex
40397.dat                      Animal Dinosaur Legs Short (Complete)
98067.dat                      Animal Dinosaur Raptor Lower Jaw
98067p01.dat                   Animal Dinosaur Raptor Lower Jaw with Tan Teeth Pattern
76443c01.dat                   Animal Dinosaur Stegosaurus with Light Grey Legs (Complete)
30456.dat                      Animal Dinosaur Tail
40395.dat                      Animal Dinosaur Tail/Neck Curved with Black Pin
40396.dat                      Animal Dinosaur Tail/Neck S Curve with Black Pin
76442c01.dat                   Animal Dinosaur Triceratops (Complete) w/ Dark Orange Legs
30464.dat                      Animal Dinosaur Tyrannosaurus Rex Baby
76409c01.dat                   Animal Dinosaur Tyrannosaurus Rex (Complete)
2889.dat                       Animal Dog Alsatian / German Shepherd Puppy
2889p01.dat                    Animal Dog Alsatian / German Shepherd Puppy with Black Eyes and Nose and Dark Brown Muzzle Pattern
2889p02.dat                    Animal Dog Alsatian / German Shepherd Puppy with Black Eyes and Nose and Light Bluish Grey Muzzle Pattern
12888.dat                      Animal Dog Chihuahua
12888p01.dat                   Animal Dog Chihuahua with Face Pattern
53075.dat                      Animal Dog Dachshund
53075p01.dat                   Animal Dog Dachshund with Black Eyes and Nose Pattern
53075p02.dat                   Animal Dog Dachshund with Black Eyes with Dark Grey Border and Black Nose with Tan Details Pattern
29602.dat                      Animal Dog French Bulldog
29602p01.dat                   Animal Dog French Bulldog with White Spot on Forehead and Black Face Pattern
92586.dat                      Animal Dog German Shepherd
92586p01.dat                   Animal Dog German Shepherd with Black Eyes, Nose, Blaze and Dark Brown Muzzle Pattern
26078.dat                      Animal Dog Terrier
26078p02.dat                   Animal Dog Terrier with Black Eyes and Nose and Bright Pink Tongue Pattern
26078p01.dat                   Animal Dog Terrier with Black Eyes and Nose and Light Bluish Grey Fur Lines Pattern
6228b.dat                      Animal Dolphin
13392.dat                      Animal Dolphin Jumping
13392p01.dat                   Animal Dolphin Jumping with Eyes and Eyelashes Pattern
13392p02.dat                   Animal Dolphin Jumping with Eyes Pattern
6128.dat                       Animal Dragon Arm Left
6127.dat                       Animal Dragon Arm Right
41535.dat                      Animal Dragon Baby (Needs Work)
75174.dat                      Animal Dragon Body
52258.dat                      Animal Dragon Body (Hungarian Horntail)
52258p01c01.dat                Animal Dragon Body Hungarian Horntail with Pattern (Complete)
75174p01.dat                   Animal Dragon Body w. Metallic Gold Oriental Pattern (Complete)
6027.dat                       Animal Dragon Head
24196.dat                      Animal Dragon Head Elves
24196p01.dat                   Animal Dragon Head Elves with Red Eyes and Black Interlace Pattern
51344.dat                      Animal Dragon Head Hungarian Horntail
51344p01.dat                   Animal Dragon Head Hungarian Horntail with Eye Pattern
24199.dat                      Animal Dragon Head Jaw Lower with  1 Stud
43900.dat                      Animal Dragon Head Oriental
75174p01c01.dat                Animal Dragon Oriental w. Chr.Gold Head and Tr.Red Wings (Comp.)
6028.dat                       Animal Dragon Tail
51874.dat                      Animal Dragon Tail End
51874p01.dat                   Animal Dragon Tail End with Faded Dark Bluish Grey Pattern
51874p03.dat                   Animal Dragon Tail End with Faded Metallic Gold Pattern
51874p02.dat                   Animal Dragon Tail End with Faded Red Pattern
45106.dat                      Animal Dragon Tail Oriental
45106p01.dat                   Animal Dragon Tail Oriental with Metallic Gold Pattern
30130.dat                      =Animal Dragon Wing
6133.dat                       Animal Dragon Wing
51342.dat                      Animal Dragon Wing 19 x 11
38547.dat                      Animal Dragon Wing  9 x  6 with Handle Bars
38547p01.dat                   Animal Dragon Wing  9 x  6 with Handle Bars with Trans Brown Trailing Edge Pattern
75174c01.dat                   Animal Dragon with Red Wings (Complete)
49661.dat                      Animal Duckling
49661p03.dat                   Animal Duckling with Black Eyes and Dark Brown Spots with Bright Light Orange Beak Pattern
49661p01.dat                   Animal Duckling with Black Eyes and White Pupil with Orange Beak Pattern
49661p02.dat                   Animal Duckling with Black Eyes and White Pupil with Red Beak Pattern
49661p04.dat                   Animal Duckling with Orange Beak Pattern
11467.dat                      Animal Eagle Body (Complete)
11467p02.dat                   Animal Eagle Body with Beak, Eyes and Dark Brown Head and Tail Feathers Pattern
11467p01.dat                   Animal Eagle Body with Beak, Eyes and Dark Brown Tail Feathers Pattern
11778.dat                      Animal Eagle Wing Left
11778p01.dat                   Animal Eagle Wing Left with Dark Brown Feathers Pattern
11778p02.dat                   Animal Eagle Wing Left with Metallic Gold Feathers Pattern
11777.dat                      Animal Eagle Wing Right
11777p01.dat                   Animal Eagle Wing Right with Dark Brown Feathers Pattern
11777p02.dat                   Animal Eagle Wing Right with Metallic Gold Feathers Pattern
24946.dat                      Animal Egg  1.2 x  1.2 x  1.333 with Hole on Top
43891.dat                      Animal Elephant Ear
6245.dat                       Animal Elephant Head  6 x  7 x  4
6245p01.dat                    Animal Elephant Head  6 x  7 x  4 with Eye Pattern
13393.dat                      Animal Fawn Friends
80672a.dat                     Animal Felid (Needs Work)
80672ap01.dat                  Animal Felid Tiger with Black Stripes, Coral Nose, White Eye Patches and Muzzle Pattern (Needs Work)
5785.dat                       Animal Fiction Gargoyle
30224.dat                      Animal Fish Ornamental
64648.dat                      Animal Fish Straight
49595e.dat                     Animal Fish with Bar - Sea Life Set
11241.dat                      Animal Foal Friends
11241p01.dat                   Animal Foal Friends with Reddish Brown Eyes and Three Black Eyelashes Pattern
11241p02.dat                   Animal Foal Friends with White Eyes and Three Black Eyelashes Pattern
98388.dat                      Animal Friends Bird
98388p01.dat                   Animal Friends Bird with Eyes and Red Beak Pattern
98388p02.dat                   Animal Friends Bird with Eyes and Yellow Beak Pattern
98388p04.dat                   Animal Friends Bird with Eyes, Feathers and Magenta Beak Pattern
98388p03.dat                   Animal Friends Bird with Eyes with Eyelash and Magenta Beak Pattern
33320.dat                      Animal Frog
95341.dat                      Animal Goat
95341p02.dat                   Animal Goat with Black Eyes and Dark Tan Horns Pattern
95341p03.dat                   Animal Goat with Black Eyes and Tan Horns Pattern
95341p01.dat                   Animal Goat with Black Eyes, Dark Tan Horns and Medium Nougat Spots Pattern
20308.dat                      Animal Head Cuboid
20308p03.dat                   Animal Head Cuboid with  2 Squares Black and White Eyes Pattern
20308p01.dat                   Animal Head Cuboid with  3 Squares Black and White Eyes Pattern
20308p02.dat                   Animal Head Cuboid with Red Eyes Pattern
98389.dat                      Animal Hedgehog
98389p01.dat                   Animal Hedgehog with Black Eyes and Nose and Reddish Brown Spines Pattern
89522.dat                      Animal Horn Spiral
2490.dat                       Animal Horse Barding
2490p4j.dat                    Animal Horse Barding w/ Gold Crowns & Gold Plate Armour Pattern
2490p40.dat                    Animal Horse Barding w/ Gold Crowns & Silver Chain Mail Pattern
2490p41.dat                    Animal Horse Barding with Black Dragons Pattern
2490p42.dat                    Animal Horse Barding with Blue Dragons Pattern
2490p43.dat                    Animal Horse Barding with Yellow Lions Pattern
4494c01.dat                    Animal Horse Body
4494pw2c01.dat                 Animal Horse Body with Blue Blanket and Red Circle Pattern
4494pw1c01.dat                 Animal Horse Body with Green Blanket and Red Hand Pattern
4493c00.dat                    Animal Horse (Complete)
4493pw2c00.dat                 Animal Horse (Complete) Body with Blue Blanket and Red Circle Pattern
4493c05.dat                    Animal Horse (Complete) with Black/Metallic Silver Pattern
4493c02.dat                    Animal Horse  (Complete) with Brown/Black Tack Pattern
4493c01.dat                    Animal Horse (Complete) with Brown/White Tack Pattern
4493pw1c00.dat                 Animal Horse (Complete) with Green Blanket and Red Hand Pattern
4493c04.dat                    Animal Horse  (Complete) with Red Tack and Black Mane Pattern
4493c03.dat                    Animal Horse (Complete) with Red Tack Pattern
82445p02.dat                   Animal Horse Foal with Bright Light Yellow Mane and Tail Pattern
82445p01.dat                   Animal Horse Foal with Dark Brown Mane and Tail Pattern
82445.dat                      Animal Horse Foal with Mane and Tail
93085.dat                      Animal Horse Friends
25279.dat                      Animal Horse Friends Blanket
93087.dat                      Animal Horse Friends Bridle
93087-f1.dat                   Animal Horse Friends Bridle (Formed)
93087k01.dat                   Animal Horse Friends Bridle Headpiece
93087k02.dat                   Animal Horse Friends Bridle Reins
93085p01.dat                   Animal Horse Friends with Dark Bluish Grey Nose, Brown Eyes and Tan Eyebrows, Mane and Tail Pattern
93085p03.dat                   Animal Horse Friends with Light Blue Eyes and White Blaze Pattern
93085p02.dat                   Animal Horse Friends with Light Blue Eyes Pattern
93085p04.dat                   Animal Horse Friends with Reddish Brown Eyes, White Blaze, Black Mane and Black Tail Pattern
4492.dat                       Animal Horse Head
48492.dat                      Animal Horse Head Armour with Plates
6125.dat                       Animal Horse Head Armour with Wings
4492p05.dat                    Animal Horse Head with Black/Metallic Silver Tack Pattern
4492pw2.dat                    Animal Horse Head with Black/Red Tack and Feather Pattern
4492pw1.dat                    Animal Horse Head with Black Tack, Metallic Silver Fittings and Feather Pattern
4492p02.dat                    Animal Horse Head with Brown/Black Tack Pattern
4492p01.dat                    Animal Horse Head with Brown/White Tack Pattern
4492p04.dat                    Animal Horse Head with Red/Black Tack and Black Mane Pattern
4492p03.dat                    Animal Horse Head with Red/Black Tack Pattern
4587.dat                       Animal Horse Hitching with Hinge
10509.dat                      Animal Horse Poseable
10352c01.dat                   Animal Horse Poseable Body
10350c01.dat                   Animal Horse Poseable Head
10350p01c01.dat                Animal Horse Poseable Head with Black Bridle and White Blaze Pattern
10350p02c01.dat                Animal Horse Poseable Head with Dark Brown Bridle
10354c01.dat                   Animal Horse Poseable Rear Legs
10509p01.dat                   Animal Horse Poseable with Black Bridle and White Blaze Pattern
10509p02.dat                   Animal Horse Poseable with Dark Brown Bridle
93086.dat                      Animal Horse Saddle Friends
4491a.dat                      Animal Horse Saddle with One Clip
4491b.dat                      Animal Horse Saddle with Two Clips
59228.dat                      Animal Horse Skeletal
80686.dat                      Animal Kitten Standing
80686p01.dat                   Animal Kitten Standing with Black Mouth, Nose, and Eyes Pattern
80686p03.dat                   Animal Kitten Standing with Orange Fur, White Muzzle, Bright Pink Nose, and Black Mouth and Eyes with White Pupils Pattern
80686p02.dat                   Animal Kitten Standing with Tan Muzzle and Black Mouth, Nose, and Eyes with White Pupils Pattern
1569.dat                       Animal Lamb
1569p01.dat                    Animal Lamb with Black Eyes Pattern
15107.dat                      Animal Leg Segmented with Axle and Bar  1L on Tip
15064.dat                      Animal Leg Segmented with Bar  0.5L
14734.dat                      Animal Lion / Tiger Cub
14734p01.dat                   Animal Lion / Tiger Cub with Lime Eyes, Dark Pink Nose, Dark Blue Paws and White Face Markings Pattern
27152.dat                      Animal Lobster
27152p01.dat                   Animal Lobster with Eyes Pattern
30084.dat                      Animal Manta Ray
14736.dat                      Animal Monkey Baby
2550.dat                       Animal Monkey Body (Needs Work)
2550c01.dat                    Animal Monkey (Complete, Crouching)
2550c02.dat                    Animal Monkey (Complete, Standing)
42090.dat                      Animal Monkey Curved Tail Large
42090p01.dat                   Animal Monkey Curved Tail Large with Rubber Tail Black
35757.dat                      Animal Mouse
35757p01.dat                   Animal Mouse with Light Nougat Tail and Black Eyes and Bright Pink Nose Pattern
6086.dat                       Animal Octopus
49595a.dat                     Animal Octopus - Sea Life Set
90001.dat                      Animal Octopus Tentacles  8 x  8
90001p01.dat                   Animal Octopus Tentacles  8 x  8 with Medium Lilac Centre Pattern
88618c01.dat                   Animal Ostrich
88618.dat                      Animal Ostrich Body
88618p01.dat                   Animal Ostrich Body with White Feathertips and Light Nougat Legs Pattern
88285.dat                      Animal Ostrich Head
88285p01.dat                   Animal Ostrich Head with Black Eye and Nostril Pattern
88618p01c01.dat                Animal Ostrich with White Feathertips and Light Nougat Head and Legs Pattern
67631.dat                      Animal Otter
40232.dat                      Animal Owl
92084.dat                      Animal Owl with Angular Feathers
92084p01.dat                   Animal Owl with Angular Feathers with Black Beak, Yellow Eyes and Tan Chest Feathers Pattern
67632.dat                      Animal Owl with Spread Wings
67632p01.dat                   Animal Owl with Spread Wings with Black Beak, Yellow Eyes and Light Bluish Gray Rippled Chest Feathers Pattern
67632p02.dat                   Animal Owl with Spread Wings with Orange Beak and Eyebrows and Medium Nougat Rippled Chest Feathers Pattern
26074.dat                      Animal Penguin
26074p01.dat                   Animal Penguin with White Belly and Eyes and Orange Beak and Feet Pattern
26074p02.dat                   Animal Penguin with White Belly, Red Eyes and Orange Beak and Feet Pattern
43744.dat                      Animal Phoenix
87621.dat                      Animal Pig
87621p02.dat                   Animal Pig with Eyes and Black Spots Pattern
87621p01.dat                   Animal Pig with Eyes Pattern
11575.dat                      Animal Poodle
11575p01.dat                   Animal Poodle with Bright Pink Collar and Bright Light Blue Eyes Pattern
30478.dat                      Animal Pteranodon
93088.dat                      Animal Puppy Standing
93088p01.dat                   Animal Puppy Standing with Bright Light Blue Eyes and Black Nose and Mouth Pattern
93088p02.dat                   Animal Puppy Standing with Bright Light Blue Eyes, Black Nose and Mouth and Reddish Brown Patch and Spots Pattern
98386.dat                      Animal Puppy Walking
98386p01.dat                   Animal Puppy Walking with Bright Light Blue Eyes and Black Nose and Mouth Pattern
33207.dat                      Animal Rabbit
66965.dat                      Animal Rabbit Standing
66965p01.dat                   Animal Rabbit Standing with Black Eyes, Dark Tan Nose and Mouth, White Stomach Pattern
33207p01.dat                   Animal Rabbit with Eyes and Nose Pattern
40234.dat                      Animal Rat
50687.dat                      Animal Rat Standing
36756.dat                      Animal Rat with Bent Tail
36756p01.dat                   Animal Rat with Bent Tail with Black Eye Pattern
30085.dat                      Animal Sawfish Head
2547ac02.dat                   Animal Sawfish Type 1 (Complete)
2547bc02.dat                   Animal Sawfish Type 2 (Complete)
30169.dat                      Animal Scorpion
49595g.dat                     Animal Seahorse with Bar - Sea Life Set
3399.dat                       Animal Seal Baby
49595f.dat                     Animal Sea Snail with Bar - Sea Life Set
102285.dat                     Animal Sea Turtle
67040.dat                      Animal Sea Turtle Baby
67040p02.dat                   Animal Sea Turtle Baby with Black Eyes and Dark Red Shell Pattern
67040p01.dat                   Animal Sea Turtle Baby with Black Eyes and Medium Nougat Shell Pattern
43936.dat                      Animal Serpent Basilisk Body Segment
43936p01.dat                   Animal Serpent Basilisk Body Segment with Scales Pattern
43746.dat                      Animal Serpent Basilisk Head
43746p01.dat                   Animal Serpent Basilisk Head with Scales Pattern
43750.dat                      Animal Serpent Basilisk Tail/Neck S Curve with Black Pin
43750p01.dat                   Animal Serpent Basilisk Tail/Neck S Curve with Black Pin with Scales Pattern
2547a.dat                      Animal Shark Body Type 1
2547b.dat                      Animal Shark Body Type 2
2548.dat                       Animal Shark Head
2547ac01.dat                   Animal Shark Type 1 (Complete)
2547bc01.dat                   Animal Shark Type 2 (Complete)
1570.dat                       Animal Sheep Fleece
49595b.dat                     Animal Shell Clam Large - Sea Life Set
49595d.dat                     Animal Shell Clam Small - Sea Life Set
30115.dat                      Animal Snake
28588.dat                      Animal Snake Head with Open Mouth, Fangs and Curved Neck with Bar
38801.dat                      Animal Snake Large with Raised Head
38801p01.dat                   Animal Snake Large with Raised Head and Black Eyes Pattern
30238.dat                      Animal Spider
35039.dat                      Animal Spider Biomechanical Legs and Head
30240.dat                      Animal Spider Web with 2 Clips
90981.dat                      Animal Spider Web with Bar
29111.dat                      Animal Spider with Elongated Abdomen
11568.dat                      Animal Squirrel
80679.dat                      Animal Squirrel Standing
80679p03.dat                   Animal Squirrel Standing with Black Eye and Black Nose Pattern
80679p02.dat                   Animal Squirrel Standing with Black Eye and Dark Bluish Grey Nose Pattern
80679p01.dat                   Animal Squirrel Standing with Black Eye and Reddish Brown Nose Pattern
11568p01.dat                   Animal Squirrel with Black Nose, Mouth and Eyes with Eyelashes and Reddish Brown Face Decorations Pattern
33122.dat                      Animal Starfish
49595c.dat                     Animal Starfish - Sea Life Set
28959.dat                      =Animal Tail
43892.dat                      Animal Tail
5156.dat                       Animal Tail Bladed with Pin (Parallel Slot) and Bar Tip
24204.dat                      Animal Tail Bladed with Pin (Perpendicular Slot) and Bar Tip
40375.dat                      Animal Tail Joint with Long Pin
43889.dat                      Animal Tail Joint with Short Pin Connector
40379.dat                      Animal Tail Section End
40378.dat                      Animal Tail Section Middle with Pin
80497.dat                      Animal Tail with Straight Tip
37297.dat                      Animal Trunk
11603.dat                      Animal Turtle
67928.dat                      Animal Wing  2 x  2.5 Feathered with Five Rounded Feathers with 0.5L Bar
20313.dat                      Animal Wing  4 x  7 Left with Feathers and Handle Bars
20312.dat                      Animal Wing  4 x  7 Right with Feathers and Handle Bars
55706.dat                      Animal Wing  9 x  9 with Axle
15082.dat                      Animal Wing Bat with  0.5L Bar
5984.dat                       Animal Wing Dragon Tattered with  0.5L Bar
11100.dat                      Animal Wing Feathered with 0.5L Bar
98088.dat                      Animal Wing Left Pteranodon
98088p02.dat                   Animal Wing Left Pteranodon with Marbled Dark Bluish Grey Edge Pattern
98088p01.dat                   Animal Wing Left Pteranodon with Marbled Medium Nougat Edge Pattern
98088p03.dat                   Animal Wing Left Pteranodon with Marbled Olive Green Edge Pattern
98088p04.dat                   Animal Wing Left Pteranodon with Marbled Sand Green Edge Pattern
98089.dat                      Animal Wing Right Pteranodon
98089p02.dat                   Animal Wing Right Pteranodon with Marbled Dark Bluish Grey Edge Pattern
98089p01.dat                   Animal Wing Right Pteranodon with Marbled Medium Nougat Edge Pattern
98089p03.dat                   Animal Wing Right Pteranodon with Marbled Olive Green Edge Pattern
98089p04.dat                   Animal Wing Right Pteranodon with Marbled Sand Green Edge Pattern
48812.dat                      Animal Wolf
6649.dat                       Animal Wolf
53457.dat                      Animal Wolf Head
6649p01.dat                    Animal Wolf with Eye and Grey Nose Pattern
3957b.dat                      Antenna  4H with Flat Top
3957a.dat                      Antenna  4H with Rounded Top
u9164.dat                      Antenna  4H with Vertical Side Spokes
3144.dat                       Antenna  5H with Side Spokes
104.dat                        Antenna  6H
2569.dat                       Antenna  8H Whip
2569d01.dat                    Antenna  8H Whip with Yellow Triangular Flag Sticker
30322.dat                      Antenna  8H with Flag
6108.dat                       Arch  1 x 12 x  3
14707.dat                      Arch  1 x 12 x  3 Raised
18838.dat                      Arch  1 x 12 x  3 Raised with  5 Internal Ribs
30938.dat                      =Arch  1 x 12 x  3 Raised with  5 Internal Ribs
6184.dat                       Arch  1 x 12 x  5 with Curved Top
78666.dat                      Arch  1 x  2 x  1 Inverted
4490.dat                       Arch  1 x  3
4490p90.dat                    Arch  1 x  3 with Classic Space Logo Pattern
5843.dat                       Arch  1 x  3 x  1.667 with Curved Top
5850.dat                       Arch  1 x  3 x  2
18653.dat                      Arch  1 x  3 x  2 Inverted
88292.dat                      Arch  1 x  3 x  2 Ogee
6005.dat                       Arch  1 x  3 x  2 with Curved Top
92903.dat                      =Arch  1 x  3 x  2 with Curved Top
13965.dat                      Arch  1 x  3 x  3 Pointed
3659.dat                       Arch  1 x  4
3659d01.dat                    Arch  1 x  4 with White Disc and Black Circle Sticker
6182.dat                       Arch  1 x  4 x  2
80543.dat                      Arch  1 x  4 x  3
3572.dat                       Arch  1 x  5 x  2
5845.dat                       Arch 1 x 5 x 3.333 with Curved Top and Two Studs
2339.dat                       Arch  1 x  5 x  4
30099.dat                      Arch  1 x  5 x  4 Inverted
4294.dat                       =Arch  1 x  5 x  4 Inverted
76768.dat                      Arch  1 x  5 x  4 with Reinforced Tip
14395.dat                      Arch  1 x  5 x  4 with Thin Walls
3455.dat                       Arch  1 x  6
